name,year,match_method,omdb_title,omdb_year,Plot,Genre_full,Actors_full,Writer_full,Director_full,imdbRating_omdb
The Stunt Man,1980,exact,The Stunt Man,1980,"While on the run from the police, Steve Railsback hides in a group of moviemakers where he pretends to be a stunt man. Both aided and endangered by the director (Peter O'Toole) he avoids both the police and sudden death as a stuntman. The mixture of real danger and fantasy of the movie is an interesting twist for the viewer as the two blend in individual scenes.","Action, Comedy, Drama","Peter O'Toole, Steve Railsback, Barbara Hershey","Lawrence B. Marcus, Richard Rush, Paul Brodeur",Richard Rush,7.0
Where the Buffalo Roam,1980,exact,Where the Buffalo Roam,1980,"The deranged adventures of Gonzo journalist Hunter Thompson and his attorney Oscar Acosta, referred to in the movie as ""Laslow"". Thompson attempts to cover the Super Bowl and the 1972 Presidential election in his typical drug-crazed state, but is continually and comically sidetracked by his even more twisted friend Laslow. Allegedly based on actual events.","Biography, Comedy","Peter Boyle, Bill Murray, Bruno Kirby","Hunter S. Thompson, John Kaye",Art Linson,6.5
The Awakening,1980,exact,The Awakening,1980,"An American archaeologist is in Egypt with his pregnant wife, searching for the tomb of a long-lost Egyptian queen. At the same moment he discovers the tomb and opens it's accursed seal, his wife gives birth to his daughter. Years later it transpires that the malevolent spirit of the Egyptian queen left the tomb just as he was entering, and possessed his baby girl. As the truth becomes clear, the archaeologist realizes that he must destroy his daughter in a ceremonial ritual, before she uses her awesome powers to threaten the safety of mankind.",Horror,"Charlton Heston, Susannah York, Jill Townsend","Allan Scott, Chris Bryant, Clive Exton",Mike Newell,4.9
Cheech and Chong's Next Movie,1980,exact,Cheech and Chong's Next Movie,1980,"Cheech must deal with losing his job, his angry neighbor, and trying to score with sexy Donna. Meanwhile, Chong meets Cheech's cousin Red and the two have a wild time in Hollywood with a big bag of buds and a cool Ferrari. Along the way they meet everyone from Pee Wee Herman to really cool aliens.","Comedy, Crime","Cheech Marin, Tommy Chong, Evelyn Guerrero","Tommy Chong, Cheech Marin",Tommy Chong,6.0
The Island,1980,exact,The Island,1980,"In New York City, journalist Blair Maynard convinces his editor to travel to Florida to investigate the mysterious disappearance of ships in the Bermuda Triangle area. Maynard is divorced, and his ex-wife sends their son Justin to stay with him while she is travelling with her boyfriend. Maynard brings Justin with him and promises to go to Walt Disney World with him. However, he tells Justin that they will travel to the Bermuda Triangle, but their plane crashes in an island. Maynard rents the boat of the local Dr. Brazil to fish barracuda with his son, but they are attacked by pirates and Maynard kills one of them in self-defense. They are captured and find that they are trapped in an island with pirates under the command of John David Nau. Maynard is forced to be the substitute for the husband of the widow Beth and Justin is brainwashed and converted into a pirate. Now Maynard tries to find a way off of the pirate island.","Action, Adventure, Drama","Michael Caine, David Warner, Angela Punch McGregor",Peter Benchley,Michael Ritchie,5.3
The Boogey Man,1980,exact,The Boogey Man,1980,"A young girl witnesses her brother murder a man through a reflection in a mirror. Twenty years later the mirror is shattered, freeing his evil spirit, which seeks revenge for his death.","Drama, Horror","Suzanna Love, John Carradine, Ron James","Ulli Lommel, Suzanna Love, David Herschel",Ulli Lommel,4.7
The Nude Bomb,1980,exact,The Nude Bomb,1980,"An unknown terrorist has developed a new type of bomb that will destroy clothing, but leave people unharmed. Agent Maxwell Smart (this time without 99 or Hymie) is taken out of retirement and sent back into the field to track down who this madman is and put a stop to his plans.","Action, Comedy, Crime","Don Adams, Andrea Howard, Sylvia Kristel","Mel Brooks, Buck Henry, Arne Sultan",Clive Donner,5.1
Lion of the Desert,1980,exact,Lion of the Desert,1980,"In Fascist Italy pre-World War II, the cruel General Rodolfo Graziani is directly assigned by Benito Mussolini to fight in the colonial war in Libya to vanquish the Arab nation. However, his troops are frequently defeated by the national leader Omar Mukhtar and his army of Bedouins. But the Butcher of Ethiopia and Libya uses a dirty war against the natives, slaughtering women, children, and aged people, to subdue Mukhtar.","Biography, Drama, History","Anthony Quinn, Oliver Reed, Rod Steiger","H.A.L. Craig, David Butler, Paul Thompson",Moustapha Akkad,8.2
Stardust Memories,1980,exact,Stardust Memories,1980,"Renowned filmmaker Sandy Bates is in a professional transition, directing largely comedies early in his career now wanting to direct more serious movies so that he can explore the meaning of life, most specifically his own. Most are fighting him all along the way, including the movie going public, who continually tell him that they love his movies especially the earlier funny ones, to studio executives who are trying to insert comic elements wherever possible into his current movie in production. He reluctantly agrees to attend a weekend long film festival of his movies. Despite the throng of requests for his time, he is further able to reflect on his life as he addresses the questions at the post screening Q&amp;A sessions. He also reflects specifically on his love life as his current girlfriend, married Isobel, shows up unexpectedly, and as he starts to fall for festival attendee Daisy - at the festival with her Columbia professor boyfriend, Jack Abel - who reminds him of Dorrie, a neurotic former girlfriend who he probably considers the one that unfortunately got away.","Comedy, Drama","Woody Allen, Charlotte Rampling, Jessica Harper",Woody Allen,Woody Allen,7.2
Melvin and Howard,1980,exact,Melvin and Howard,1980,"This movie tells the possibly true story of Melvin E. Dummar. Melvin is a nice guy, but he is a total loser: unlucky, impractical and can't keep a job. One night, however, he helps an old man who has had a motorcycle accident in the desert. Melvin laughs when the old man says he is Howard Hughes, the eccentric multimillionaire. But when Howard Hughes dies, Melvin is mailed a will leaving him part of the estate!","Comedy, Drama","Paul Le Mat, Jason Robards, Elizabeth Cheshire",Bo Goldman,Jonathan Demme,6.8
Can't Stop the Music,1980,exact,Can't Stop the Music,1980,"In this pseudo audio biography of the Village People, Jack Morell (a thinly disguised caricature of the group's founder, Jacques Morali) is a struggling composer desperate to gain fame with his songs, but all he needs is a group to sing them. With the help of his roommate Samantha and a lawyer named Ron, Jack forms a group of six ""macho men"" from his Greenwich Village neighborhood, and the rest of the film details their rise to fame from New York City to a climatic concert in San Francisco.","Biography, Comedy, Musical","Ray Simpson, David Hodo, Felipe Rose","Bronte Woodard, Allan Carr",Nancy Walker,4.2
Bronco Billy,1980,exact,Bronco Billy,1980,"""Bronco"" Billy McCoy (Clint Eastwood) is the proud owner of a small travelling Wild West show. But the business isn't doing too well. For the past six months, he hasn't paid his employees. At a gas station he picks up Antoinette Lily (Sondra Locke), a stuck-up blonde from a rich family, who was left behind without a penny by her husband John Arlington (Geoffrey Lewis) on their wedding night. Billy likes her looks and hires her as his assistant. She seems to bring them bad luck and the business gets even worse. In these hard times, she loses her reluctance and starts to like her new way of life, and Bronco Billy.","Action, Adventure, Comedy","Clint Eastwood, Sondra Locke, Geoffrey Lewis",Dennis Hackin,Clint Eastwood,6.2
City of Women,1980,exact,City of Women,1980,"Marcello is in the compartment of an Italian train, facing forward, when the mineral water of the woman seated across from him starts falling toward him. He catches the bottle and makes eye contact, then follows her when she leaves the compartment. For a few moments she finds him attractive too. Then suddenly she gets off the train and starts walking through a field. Marcello follows her, loses her, and finds himself in a large hotel surrounded by women. A feminist conference is taking place and he tries to escape.","Comedy, Drama, Fantasy","Marcello Mastroianni, Anna Prucnal, Bernice Stegers","Federico Fellini, Bernardino Zapponi, Brunello Rondi",Federico Fellini,6.9
The Private Eyes,1980,exact,The Private Eyes,1980,"This spoof of the Sherlock Holmes stories finds Inspector Winship and Dr. Tart investigating a strange death in a possibly haunted mansion, while dealing with the beautiful heiress and the crazed staff which live therein.","Comedy, Mystery","Tim Conway, Don Knotts, Trisha Noble","Tim Conway, John Myhers",Lang Elliott,6.5
When Time Ran Out...,1980,exact,When Time Ran Out...,1980,Tourists are surprised by a volcanic eruption in a lonesome hotel in the Caribic. The hotel owner ignores all warnings and advises his guests to wait for a rescue team. Only a small group follows expert Hank to reach higher regions. They start an adventurous journey across the island.,"Action, Adventure, Drama","Paul Newman, Jacqueline Bisset, William Holden","Gordon Thomas, Max Morgan Witts, Carl Foreman",James Goldstone,4.6
Oh Heavenly Dog,1980,exact,Oh Heavenly Dog,1980,"Browning is a PI with a bad cold, who's sent to investigate a case by a mysterious client.He stumbles across the body of a young woman and is stabbed to death, and when he wakes up in heaven, they tell him he's ""marginal material,"" and they can only decide on his final destination through one last assignment: to go back and solve his own murder. As a dog. A cute fluffy little dog (Benji). Undaunted, Browning begins to investigate the case as best he can around his canine disabilities (dialing the phone presents a special challenge) to solve the murders, save the girl, and see justice done.","Comedy, Crime, Fantasy","Chevy Chase, Jane Seymour, Benjean","Rod Browning, Joe Camp",Joe Camp,5.4
The Octagon,1980,exact,The Octagon,1980,"Scott's life is plagued by two kinds of flashbacks. First are the childhood memories of the rigorous training he and a friend endured under a martial arts master. The second is of a mission Scott went on that ended with him watching his friend get murdered. Scott later becomes drawn closer to a vicious crime ring known as The Octagon. As he gets closer to the truth, Scott learns that these may be the men that murdered his friend so long ago.","Action, Drama, Romance","Chuck Norris, Karen Carlson, Lee Van Cleef","Leigh Chapman, Paul Aaron",Eric Karson,5.1
Hangar 18,1980,exact,Hangar 18,1980,Shortly after the launch of a satellite from a space shuttle the satellite collides with a UFO in front of the crew's eyes. Because of an election campaign some politicians try to hide the crashed UFO -- inside hangar 18.,Sci-Fi,"Darren McGavin, Robert Vaughn, Gary Collins","Ken Pettus, Thomas C. Chapman, James L. Conway",James L. Conway,5.4
Herbie Goes Bananas,1980,exact,Herbie Goes Bananas,1980,"Pete Stancheck inherits from his Uncle Jim Douglas a race car being stored in Puerto Vallarta. With his friend Davy Johns (D.J. to his friends) accompanying him to P.V., Pete is dismayed to learn that the car is an older model Volkswagen Beetle. But when Pete and D.J. see what the car can do and learn that it somewhat has a mind of its own, they decide to enter it into the Brazil Grand Primeo formula one race. En route to Rio de Janeiro, Herbie, the car, gets Pete and D.J. into one predicament after another as it tries to help its new friend, a streetwise orphan named Paco, who Pete and D.J. encountered in P.V. and who stowed away in Herbie's trunk. Because of these predicaments, Pete and D.J. end up requiring a quick influx of cash and slyly enlist the help of wealthy Louise Trent and her bookish niece, anthropology doctoral candidate Melissa, to be their financiers. Pete's role in the scheme is to woo the shy Melissa, about which he feels guilty. But initially unknown to all of them, Paco, who picks pockets to survive, is being chased by criminals from who Paco inadvertently stole some film which shows the whereabouts of some Incan treasures. As they collectively and individually work their way to Rio, Herbie must ultimately protect Paco, Pete, D.J., Louise and Melissa from the bad guys, while conversely prevent the bad guys from pillaging the treasures. Through it all, will romance bloom between Pete and Melissa, and between Louise and the object of her affection, a cruise ship captain named Blythe, who is more reminiscent of a captain of a ship called the Bounty than of a cruise kind?","Adventure, Comedy, Family","Charles Martin Smith, Stephen W. Burns, Cloris Leachman","Don Tait, Gordon Buford",Vincent McEveety,4.9
The Competition,1980,exact,The Competition,1980,"The movie centers on a piano competition whose winner is assured of success. It is Paul's last chance to compete, but newcomer Heidi may be a better pianist. Can romance be far away? Will she take a dive despite the pressure to win from her teacher, Greta, or will she condemn Paul to obscurity?","Drama, Romance, Music","Richard Dreyfuss, Amy Irving, Lee Remick","Joel Oliansky, William Sackheim",Joel Oliansky,6.6
It's My Turn,1980,exact,It's My Turn,1980,"A successful but stressed mathematics professor goes to her father's wedding and falls in love with her father's bride's son, a prematurely retired pro baseball player. She must choose between him and her current boyfriend, between Chicago and New York, and between research and administration.","Comedy, Drama","Jill Clayburgh, Michael Douglas, Charles Grodin",Eleanor Bergstein,Claudia Weill,5.4
